32385455,00_0001exx_e29afyy,2014-07-15,POINT Z (616177.036 5449645.507 249.71),0.69990,-0.30828,25
32385452,00_0001exx_e29acyy,2014-07-15,POINT Z (616172.537 5449637.659 249.628),0.34519,-0.40461,25
32385464,00_0001exx_e29b8yy,2014-07-15,POINT Z (616191.69 5449666.463 249.999),-0.89489,-1.11316,70
32385465,00_0001exx_e29b9yy,2014-07-15,POINT Z (616194.499 5449666.499 250.019),-0.62611,-1.06334,90
32385467,00_0001exx_e29bbyy,2014-07-15,POINT Z (616199.859 5449664.729 250.11),-0.82183,-1.81070,110
32385469,00_0001exx_e29bdyy,2014-07-15,POINT Z (616204.482 5449661.131 250.186),0.37491,-1.89514,130
32385470,00_0001exx_e29beyy,2014-07-15,POINT Z (616206.719 5449659.111 250.206),0.44412,-1.47059,130
32385471,00_0001exx_e29bfyy,2014-07-15,POINT Z (616208.916 5449657.022 250.187),1.44784,-1.41031,130
32385468,00_0001exx_e29bcyy,2014-07-15,POINT Z (616202.229 5449663.06 250.159),-0.01853,-2.01698,130
32385324,00_0001exx_e292cyy,2014-07-15,POINT Z (616113.639 5449369.64 250.688),0.27278,-0.93041,90
32385330,00_0001exx_e2932yy,2014-07-15,POINT Z (616131.576 5449372.265 250.681),-0.21066,-0.52755,90
32385337,00_0001exx_e2939yy,2014-07-15,POINT Z (616152.623 5449374.828 250.76),-0.87895,-0.59448,95
32385466,00_0001exx_e29bayy,2014-07-15,POINT Z (616197.264 5449665.901 250.058),-0.92536,-1.53918,90
32385358,00_0001exx_e294eyy,2014-07-15,POINT Z (616215.95 5449378.768 250.813),0.26222,-0.66602,95
32385343,00_0001exx_e293fyy,2014-07-15,POINT Z (616170.754 5449376.311 250.756),0.14224,-0.75780,95
32385449,00_0001exx_e29a9yy,2014-07-15,POINT Z (616168.304 5449629.73 249.555),0.50113,-0.63665,20
32385359,00_0001exx_e294fyy,2014-07-15,POINT Z (616218.924 5449378.47 250.83),0.50211,-0.82301,95
32385458,00_0001exx_e29b2yy,2014-07-15,POINT Z (616180.905 5449653.761 249.792),1.61756,-0.77681,25
32385420,00_0001exx_e298cyy,2014-07-15,POINT Z (616170.133 5449545.105 249.754),0.25037,-0.54317,-30
32385460,00_0001exx_e29b4yy,2014-07-15,POINT Z (616183.401 5449659.238 249.864),1.16913,-0.82886,25
32385459,00_0001exx_e29b3yy,2014-07-15,POINT Z (616182.144 5449656.519 249.828),1.31820,-0.63109,25
32385427,00_0001exx_e2993yy,2014-07-15,POINT Z (616163.136 5449564.994 249.647),-0.04766,-0.47101,-20
32385323,00_0001exx_e292byy,2014-07-15,POINT Z (616110.628 5449369.236 250.671),0.36105,-1.17225,90
32385322,00_0001exx_e292ayy,2014-07-15,POINT Z (616107.656 5449368.852 250.656),0.30208,-0.98396,90
32385321,00_0001exx_e2929yy,2014-07-15,POINT Z (616104.688 5449368.48 250.648),-0.11916,-0.92540,90
32385360,00_0001exx_e2950yy,2014-07-15,POINT Z (616222.014 5449378.202 250.84),0.37117,-1.42708,70
32385326,00_0001exx_e292eyy,2014-07-15,POINT Z (616119.645 5449370.525 250.708),-0.16745,-0.99082,90
32385441,00_0001exx_e29a1yy,2014-07-15,POINT Z (616161.457 5449606.892 249.453),0.32437,-0.98603,0
32385353,00_0001exx_e2949yy,2014-07-15,POINT Z (616200.955 5449378.441 250.838),-0.07554,-0.13787,95
32385361,00_0001exx_e2951yy,2014-07-15,POINT Z (616225.162 5449378.312 250.861),0.23037,-0.50129,50
32385338,00_0001exx_e293ayy,2014-07-15,POINT Z (616155.649 5449375.086 250.763),-0.58066,-0.35607,95
32385424,00_0001exx_e2990yy,2014-07-15,POINT Z (616165.566 5449556.225 249.7),0.59953,-0.37702,-30
32385320,00_0001exx_e2928yy,2014-07-15,POINT Z (616101.712 5449368.047 250.639),-0.30316,-1.07882,90
32385352,00_0001exx_e2948yy,2014-07-15,POINT Z (616197.942 5449378.267 250.853),-0.18466,-0.02428,95
32385356,00_0001exx_e294cyy,2014-07-15,POINT Z (616210.004 5449378.817 250.806),0.59923,-0.09313,95
32385362,00_0001exx_e2952yy,2014-07-15,POINT Z (616230.652 5449381.616 250.934),0.57269,-0.84553,30
